,Item,Category,Total Sales
3,Sweet Lassi,Beverages,3500
4,Buttermilk,Beverages,3195
5,Kesar Lassi,Beverages,960
12,PTM Combo,FIFA Specials,2120
13,Veg. Dum Biryani Combo,FIFA Specials,1995
14,Jodhpuri Gatte Combo,FIFA Specials,1275
21,Veg. Biryani Combo ,Late Night Specials,3000
22,Dal Tadka Combo,Late Night Specials,2430
23,PTM Combo,Late Night Specials,2120
27,Aloo Paratha,Parathas,9425
28,Gobi Paratha,Parathas,3915
29,Tawa Paratha,Parathas,2860
33,Manchow Soup,Soups,13940
34,Tomato Soup,Soups,3240
35,Sweet corn Soup,Soups,1320
39,Aamras,Summer Special Menu,13600
40,Aamras Puri,Summer Special Menu,9805
41,Aamras Puri Bhaji,Summer Special Menu,2835